province,industry,job_count
HAI DUONG,KINH DOANH,2
HAI DUONG,KỸ THUẬT,1
HAI DUONG,MARKETING,1
HAI DUONG,NHÀ HÀNG,1
HAI DUONG,SẢN XUẤT,2
HAI DUONG,THIẾT KẾ,1
HAI DUONG,XÂY DỰNG,1
HAI PHONG,BIÊN PHIÊN DỊCH,1
HAI PHONG,BÁN LẺ,3
HAI PHONG,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1
HAI PHONG,CÔNG NGHỆ THÔNG TIN,3
HAI PHONG,DƯỢC,1
HAI PHONG,GIÁO DỤC,6
HAI PHONG,HẬU CẦN,5
HAI PHONG,KHOA HỌC & KỸ THUẬT,2
HAI PHONG,KINH DOANH,38
HAI PHONG,KIẾN TRÚC,2
HAI PHONG,KẾ TOÁN,25
HAI PHONG,KỸ THUẬT,5
HAI PHONG,LOGISTICS,15
HAI PHONG,MARKETING,6
HAI PHONG,NHÀ HÀNG,4
HAI PHONG,NHÂN SỰ,11
HAI PHONG,NHÓM NGHỀ KHÁC,2
HAI PHONG,SẢN XUẤT,23
HAI PHONG,THIẾT KẾ,2
HAI PHONG,TÀI CHÍNH,2
HAI PHONG,TƯ VẤN CHUYÊN MÔN,1
HAI PHONG,XÂY DỰNG,14
HAI PHONG,ĐIỆN,4
HOA BINH,CEO & GENERAL MANAGEMENT,1
HOA BINH,TÀI CHÍNH,2
HOA BINH,XÂY DỰNG,2
HUNG YEN,BIÊN PHIÊN DỊCH,1
HUNG YEN,BÁN LẺ,3
HUNG YEN,CÔNG NGHỆ THÔNG TIN,3
HUNG YEN,GIÁO DỤC,1
HUNG YEN,HÀNH CHÍNH VĂN PHÒNG,2
HUNG YEN,HẬU CẦN,1
HUNG YEN,KINH DOANH,7
HUNG YEN,KIẾN TRÚC,1
HUNG YEN,KẾ TOÁN,10
HUNG YEN,LOGISTICS,7
HUNG YEN,MARKETING,4
HUNG YEN,NHÀ HÀNG,2
HUNG YEN,NHÂN SỰ,5
HUNG YEN,NHÓM NGHỀ KHÁC,1
HUNG YEN,NĂNG LƯỢNG,1
HUNG YEN,SẢN XUẤT,18
HUNG YEN,XÂY DỰNG,14
HUNG YEN,ĐIỆN,4
KHANH HOA,BIÊN PHIÊN DỊCH,1
KHANH HOA,BẤT ĐỘNG SẢN,1
KHANH HOA,KINH DOANH,11
KHANH HOA,KẾ TOÁN,3
KHANH HOA,MARKETING,2
KHANH HOA,NHÀ HÀNG,2
KHANH HOA,SẢN XUẤT,4
KHANH HOA,THIẾT KẾ,1
KHANH HOA,XÂY DỰNG,5
KHANH HOA,ĐIỆN,1
LAI CHAU,SẢN XUẤT,1
LAI CHAU,ĐIỆN,1
LAM DONG,CÔNG NGHỆ THÔNG TIN,1
LAM DONG,GIÁO DỤC,1
LAM DONG,KINH DOANH,10
LAM DONG,LOGISTICS,1
LAM DONG,MARKETING,3
LAM DONG,NHÀ HÀNG,3
LAM DONG,NHÂN SỰ,1
LAM DONG,NĂNG LƯỢNG,2
LAM DONG,SẢN XUẤT,5
LAM DONG,TÀI CHÍNH,1
LAM DONG,XÂY DỰNG,2
LAM DONG,ĐIỆN,1
LAO CAI,BẤT ĐỘNG SẢN,1
LAO CAI,KẾ TOÁN,1
LAO CAI,NHÀ HÀNG,1
LAO CAI,XÂY DỰNG,5
LONG AN,BÁN LẺ,1
LONG AN,SẢN XUẤT,1
LONG AN,XÂY DỰNG,1
LONG AN,ĐIỆN,1
NAM DINH,SẢN XUẤT,2
NAM DINH,XÂY DỰNG,1
NGHE AN,BIÊN PHIÊN DỊCH,1
NGHE AN,BẤT ĐỘNG SẢN,2
NGHE AN,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),2
NGHE AN,CÔNG NGHỆ THÔNG TIN,2
NGHE AN,DƯỢC,3
NGHE AN,GIÁO DỤC,5
NGHE AN,KINH DOANH,19
NGHE AN,KẾ TOÁN,6
NGHE AN,LOGISTICS,2
NGHE AN,MARKETING,3
NGHE AN,NHÀ HÀNG,2
NGHE AN,NHÂN SỰ,1
NGHE AN,NHÓM NGHỀ KHÁC,1
NGHE AN,SẢN XUẤT,8
NGHE AN,TƯ VẤN CHUYÊN MÔN,1
NGHE AN,XÂY DỰNG,9
NGHE AN,ĐIỆN,2
NINH BINH,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1
NINH BINH,DƯỢC,1
NINH BINH,KINH DOANH,10
NINH BINH,KẾ TOÁN,6
NINH BINH,LOGISTICS,3
NINH BINH,MARKETING,2
NINH BINH,NHÀ HÀNG,2
NINH BINH,NHÂN SỰ,3
NINH BINH,NĂNG LƯỢNG,1
NINH BINH,SẢN XUẤT,19
NINH BINH,XÂY DỰNG,7
NINH BINH,ĐIỆN,4
OVERSEAS,BẤT ĐỘNG SẢN,2
OVERSEAS,CÔNG NGHỆ THÔNG TIN,9
OVERSEAS,DỆT MAY,2
OVERSEAS,DỊCH VỤ KHÁCH HÀNG,1
OVERSEAS,GIÁO DỤC,2
OVERSEAS,HÀNH CHÍNH VĂN PHÒNG,3
OVERSEAS,KHOA HỌC & KỸ THUẬT,5
OVERSEAS,KINH DOANH,8
OVERSEAS,KIẾN TRÚC,5
OVERSEAS,KẾ TOÁN,7
OVERSEAS,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,1
OVERSEAS,NHÂN SỰ,2
OVERSEAS,PHÁP LÝ,2
OVERSEAS,SẢN XUẤT,7
OVERSEAS,TIẾP THỊ,1
OVERSEAS,VẬN TẢI,1
OVERSEAS,XÂY DỰNG,1
PHU THO,BIÊN PHIÊN DỊCH,1
PHU THO,KINH DOANH,9
PHU THO,KẾ TOÁN,4
PHU THO,LOGISTICS,5
PHU THO,MARKETING,1
PHU THO,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,1
PHU THO,NHÂN SỰ,2
PHU THO,SẢN XUẤT,6
PHU THO,XÂY DỰNG,4
QUANG NAM,SẢN XUẤT,1
QUANG NGAI,DỊCH VỤ KHÁCH HÀNG,2
QUANG NGAI,KINH DOANH,3
QUANG NGAI,NHÀ HÀNG,1
QUANG NGAI,SẢN XUẤT,1
QUANG NINH,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1
QUANG NINH,GIÁO DỤC,3
QUANG NINH,KINH DOANH,3
QUANG NINH,KẾ TOÁN,3
QUANG NINH,LOGISTICS,1
QUANG NINH,NHÂN SỰ,5
QUANG NINH,NHÓM NGHỀ KHÁC,1
QUANG NINH,SẢN XUẤT,5
QUANG NINH,XÂY DỰNG,9
QUANG NINH,ĐIỆN,1
QUANG TRI,KINH DOANH,3
QUANG TRI,KIẾN TRÚC,1
QUANG TRI,XÂY DỰNG,1
SON LA,KINH DOANH,1
SON LA,KẾ TOÁN,1
SON LA,MARKETING,1
TAY NINH,BIÊN PHIÊN DỊCH,2
TAY NINH,BÁN LẺ,1
TAY NINH,CÔNG NGHỆ THÔNG TIN,1
TAY NINH,KINH DOANH,12
TAY NINH,KẾ TOÁN,9
TAY NINH,LOGISTICS,6
TAY NINH,MARKETING,1
TAY NINH,NHÀ HÀNG,1
TAY NINH,NHÂN SỰ,5
TAY NINH,NĂNG LƯỢNG,1
TAY NINH,SẢN XUẤT,17
TAY NINH,XÂY DỰNG,5
TAY NINH,ĐIỆN,4
THAI BINH,KINH DOANH,1
THAI BINH,KẾ TOÁN,1
THAI BINH,LOGISTICS,4
THAI BINH,NHÂN SỰ,1
THAI BINH,NĂNG LƯỢNG,1
THAI NGUYEN,CÔNG NGHỆ THÔNG TIN,1
THAI NGUYEN,DƯỢC,1
THAI NGUYEN,KHOA HỌC & KỸ THUẬT,1
THAI NGUYEN,KINH DOANH,4
THAI NGUYEN,KẾ TOÁN,3
THAI NGUYEN,MARKETING,4
THAI NGUYEN,NHÂN SỰ,3
THAI NGUYEN,SẢN XUẤT,1
THAI NGUYEN,XÂY DỰNG,1
THANH HOA,BIÊN PHIÊN DỊCH,2
THANH HOA,GIÁO DỤC,1
THANH HOA,KINH DOANH,9
THANH HOA,KẾ TOÁN,2
THANH HOA,LOGISTICS,2
THANH HOA,MARKETING,2
THANH HOA,NHÂN SỰ,3
THANH HOA,NHÓM NGHỀ KHÁC,1
THANH HOA,SẢN XUẤT,6
THANH HOA,THIẾT KẾ,1
THANH HOA,XÂY DỰNG,8
THUA THIEN HUE,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1
THUA THIEN HUE,GIÁO DỤC,1
THUA THIEN HUE,KINH DOANH,2
THUA THIEN HUE,KẾ TOÁN,1
THUA THIEN HUE,SẢN XUẤT,1
TIEN GIANG,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1
TIEN GIANG,KINH DOANH,1
TIEN GIANG,NHÂN SỰ,1
TP HO CHI MINH,BIÊN PHIÊN DỊCH,40
TP HO CHI MINH,BÁN LẺ,44
TP HO CHI MINH,BẤT ĐỘNG SẢN,27
TP HO CHI MINH,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),155
TP HO CHI MINH,CÔNG NGHỆ THÔNG TIN,115
TP HO CHI MINH,DƯỢC,48
TP HO CHI MINH,DỆT MAY,2
TP HO CHI MINH,DỊCH VỤ KHÁCH HÀNG,4
TP HO CHI MINH,DỊCH VỤ ĂN UỐNG,1
TP HO CHI MINH,GIÁO DỤC,65
TP HO CHI MINH,HÀNH CHÍNH VĂN PHÒNG,5
TP HO CHI MINH,HẬU CẦN,5
TP HO CHI MINH,KHOA HỌC & KỸ THUẬT,3
TP HO CHI MINH,KINH DOANH,781
TP HO CHI MINH,KIẾN TRÚC,7
TP HO CHI MINH,KẾ TOÁN,245
TP HO CHI MINH,LOGISTICS,103
TP HO CHI MINH,LUẬT,9
TP HO CHI MINH,MARKETING,370
TP HO CHI MINH,NGÂN HÀNG & DỊCH VỤ TÀI CHÍNH,10
TP HO CHI MINH,NHÀ HÀNG,86
TP HO CHI MINH,NHÂN SỰ,178
TP HO CHI MINH,NHÓM NGHỀ KHÁC,24
TP HO CHI MINH,NĂNG LƯỢNG,11
TP HO CHI MINH,PHIM VÀ TRUYỀN HÌNH,7
TP HO CHI MINH,PHÁP LÝ,1
TP HO CHI MINH,SẢN XUẤT,170
TP HO CHI MINH,THIẾT KẾ,38
TP HO CHI MINH,TIẾP THỊ,7
TP HO CHI MINH,TÀI CHÍNH,37
TP HO CHI MINH,TƯ VẤN CHUYÊN MÔN,2
TP HO CHI MINH,XÂY DỰNG,197
TP HO CHI MINH,ĐIỆN,73
TUYEN QUANG,KINH DOANH,2
TUYEN QUANG,KẾ TOÁN,1
TUYEN QUANG,LOGISTICS,1
UNKNOWN,BIÊN PHIÊN DỊCH,8
UNKNOWN,BÁN LẺ,19
UNKNOWN,BẤT ĐỘNG SẢN,10
UNKNOWN,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),50
UNKNOWN,CÔNG NGHỆ THÔNG TIN,92
UNKNOWN,DƯỢC,20
UNKNOWN,GIÁO DỤC,47
UNKNOWN,HẬU CẦN,2
UNKNOWN,KINH DOANH,334
UNKNOWN,KẾ TOÁN,177
UNKNOWN,LOGISTICS,80
UNKNOWN,LUẬT,3
UNKNOWN,MARKETING,230
UNKNOWN,NHÀ HÀNG,30
UNKNOWN,NHÂN SỰ,102
UNKNOWN,NHÓM NGHỀ KHÁC,11
UNKNOWN,NĂNG LƯỢNG,6
UNKNOWN,PHIM VÀ TRUYỀN HÌNH,4
UNKNOWN,SẢN XUẤT,122
UNKNOWN,THIẾT KẾ,13
UNKNOWN,TIẾP THỊ,1
UNKNOWN,TÀI CHÍNH,24
UNKNOWN,TƯ VẤN CHUYÊN MÔN,5
UNKNOWN,XÂY DỰNG,111
UNKNOWN,ĐIỆN,38
YEN BAI,NHÂN SỰ,1
YEN BAI,TIẾP THỊ,2
