province,industry,job_count,rn
HAI DUONG,KHOA HỌC & KỸ THUẬT,1,3
HAI DUONG,KỸ THUẬT,1,4
HAI DUONG,MARKETING,1,5
HAI PHONG,KINH DOANH,38,1
HAI PHONG,KẾ TOÁN,25,2
HAI PHONG,SẢN XUẤT,23,3
HAI PHONG,LOGISTICS,15,4
HAI PHONG,XÂY DỰNG,14,5
HOA BINH,TÀI CHÍNH,2,1
HOA BINH,XÂY DỰNG,2,2
HOA BINH,CEO & GENERAL MANAGEMENT,1,3
HUNG YEN,SẢN XUẤT,18,1
HUNG YEN,XÂY DỰNG,14,2
HUNG YEN,KẾ TOÁN,10,3
HUNG YEN,KINH DOANH,7,4
HUNG YEN,LOGISTICS,7,5
KHANH HOA,KINH DOANH,11,1
KHANH HOA,XÂY DỰNG,5,2
KHANH HOA,SẢN XUẤT,4,3
KHANH HOA,KẾ TOÁN,3,4
KHANH HOA,MARKETING,2,5
LAI CHAU,SẢN XUẤT,1,1
LAI CHAU,ĐIỆN,1,2
LAM DONG,KINH DOANH,10,1
LAM DONG,SẢN XUẤT,5,2
LAM DONG,MARKETING,3,3
LAM DONG,NHÀ HÀNG,3,4
LAM DONG,NĂNG LƯỢNG,2,5
LAO CAI,XÂY DỰNG,5,1
LAO CAI,BẤT ĐỘNG SẢN,1,2
LAO CAI,KẾ TOÁN,1,3
LAO CAI,NHÀ HÀNG,1,4
LONG AN,BÁN LẺ,1,1
LONG AN,SẢN XUẤT,1,2
LONG AN,XÂY DỰNG,1,3
LONG AN,ĐIỆN,1,4
NAM DINH,SẢN XUẤT,2,1
NAM DINH,XÂY DỰNG,1,2
NGHE AN,KINH DOANH,19,1
NGHE AN,XÂY DỰNG,9,2
NGHE AN,SẢN XUẤT,8,3
NGHE AN,KẾ TOÁN,6,4
NGHE AN,GIÁO DỤC,5,5
NINH BINH,SẢN XUẤT,19,1
NINH BINH,KINH DOANH,10,2
NINH BINH,XÂY DỰNG,7,3
NINH BINH,KẾ TOÁN,6,4
NINH BINH,ĐIỆN,4,5
OVERSEAS,CÔNG NGHỆ THÔNG TIN,9,1
OVERSEAS,KINH DOANH,8,2
OVERSEAS,KẾ TOÁN,7,3
OVERSEAS,SẢN XUẤT,7,4
OVERSEAS,KHOA HỌC & KỸ THUẬT,5,5
PHU THO,KINH DOANH,9,1
PHU THO,SẢN XUẤT,6,2
PHU THO,LOGISTICS,5,3
PHU THO,KẾ TOÁN,4,4
PHU THO,XÂY DỰNG,4,5
QUANG NAM,SẢN XUẤT,1,1
QUANG NGAI,KINH DOANH,3,1
QUANG NGAI,DỊCH VỤ KHÁCH HÀNG,2,2
QUANG NGAI,NHÀ HÀNG,1,3
QUANG NGAI,SẢN XUẤT,1,4
QUANG NINH,XÂY DỰNG,9,1
QUANG NINH,NHÂN SỰ,5,2
QUANG NINH,SẢN XUẤT,5,3
QUANG NINH,GIÁO DỤC,3,4
QUANG NINH,KINH DOANH,3,5
QUANG TRI,KINH DOANH,3,1
QUANG TRI,KIẾN TRÚC,1,2
QUANG TRI,XÂY DỰNG,1,3
SON LA,KINH DOANH,1,1
SON LA,KẾ TOÁN,1,2
SON LA,MARKETING,1,3
TAY NINH,SẢN XUẤT,17,1
TAY NINH,KINH DOANH,12,2
TAY NINH,KẾ TOÁN,9,3
TAY NINH,LOGISTICS,6,4
TAY NINH,NHÂN SỰ,5,5
THAI BINH,LOGISTICS,4,1
THAI BINH,KINH DOANH,1,2
THAI BINH,KẾ TOÁN,1,3
THAI BINH,NHÂN SỰ,1,4
THAI BINH,NĂNG LƯỢNG,1,5
THAI NGUYEN,KINH DOANH,4,1
THAI NGUYEN,MARKETING,4,2
THAI NGUYEN,KẾ TOÁN,3,3
THAI NGUYEN,NHÂN SỰ,3,4
THAI NGUYEN,CÔNG NGHỆ THÔNG TIN,1,5
THANH HOA,KINH DOANH,9,1
THANH HOA,XÂY DỰNG,8,2
THANH HOA,SẢN XUẤT,6,3
THANH HOA,NHÂN SỰ,3,4
THANH HOA,BIÊN PHIÊN DỊCH,2,5
THUA THIEN HUE,KINH DOANH,2,1
THUA THIEN HUE,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1,2
THUA THIEN HUE,GIÁO DỤC,1,3
THUA THIEN HUE,KẾ TOÁN,1,4
THUA THIEN HUE,SẢN XUẤT,1,5
TIEN GIANG,CHĂM SÓC KHÁCH HÀNG (CUSTOMER SERVICE),1,1
TIEN GIANG,KINH DOANH,1,2
TIEN GIANG,NHÂN SỰ,1,3
TP HO CHI MINH,KINH DOANH,781,1
TP HO CHI MINH,MARKETING,370,2
TP HO CHI MINH,KẾ TOÁN,245,3
TP HO CHI MINH,XÂY DỰNG,197,4
TP HO CHI MINH,NHÂN SỰ,178,5
TUYEN QUANG,KINH DOANH,2,1
TUYEN QUANG,KẾ TOÁN,1,2
TUYEN QUANG,LOGISTICS,1,3
UNKNOWN,KINH DOANH,334,1
UNKNOWN,MARKETING,230,2
UNKNOWN,KẾ TOÁN,177,3
UNKNOWN,SẢN XUẤT,122,4
UNKNOWN,XÂY DỰNG,111,5
YEN BAI,TIẾP THỊ,2,1
YEN BAI,NHÂN SỰ,1,2
