skill,job_count
KỸ SƯ HVAC,15
TƯ VẤN TÀI CHÍNH,15
BÁN HÀNG ĐIỆN MÁY,14
CHUYÊN MÔN GIÁO DỤC,14
DATA ANALYST,14
DỊCH VỤ Ô TÔ,14
GIÁ THÀNH,14
INFORMATION SECURITY,14
IT HELPDESK,14
IT SUPPORT,14
KẾ TOÁN CHI PHÍ,14
LÁI XE CHO SẾP,14
LÂM,14
MANUAL TESTER,14
QUẢN LÝ VẬN HÀNH,14
TƯ VẤN BẢO HIỂM,14
TỰ ĐỘNG HOÁ KHÁC,14
BIÊN PHIÊN DỊCH TIẾNG NHẬT,13
BRAND MARKETING,13
BÁN HÀNG MỸ PHẨM,13
CHUYÊN MÔN THIẾT KẾ THỜI TRANG,13
GIAO TIẾP,13
GIÁM SÁT KHO,13
GIÁO VIÊN TOÁN,13
KHAI BÁO HẢI QUAN VÀ KIỂM DỊCH,13
LINH KIỆN ĐIỆN,13
PRODUCT MANAGER,13
PRODUCT OWNER,13
QUẢN LÝ GIÁO DỤC,13
QUẢN LÝ KINH DOANH KHÁC,13
SALES SUPERVISOR,13
THIẾT KẾ CÔNG NGHIỆP,13
TRƯỞNG CHUYỀN,13
TRƯỞNG KHO,13
TRƯỞNG PHÒNG NHÂN SỰ,13
TRỢ LÝ KINH DOANH,13
TRỰC PAGE,13
TỔ TRƯỞNG SẢN XUẤT,13
ARTIFICIAL INTELLIGENCE (AI),12
BẢO TRÌ TÒA NHÀ,12
CHUYÊN MÔN NHÀ HÀNG,12
CHUYÊN MÔN THIẾT KẾ KHÁC,12
CHUYÊN VIÊN PHÁP LÝ,12
CHĂM SÓC SỨC KHOẺ,12
GIÁM SÁT BÁN HÀNG,12
KOREAN TRANSLATION,12
KỸ THUẬT VIỄN THÔNG,12
NGHIÊN CỨU THỊ TRƯỜNG (MARKET RESEARCH),12
SALES SẢN XUẤT KHÁC,12
SOCIAL CONTENT,12
THIẾT KẾ KHÁC,12
TRỢ GIẢNG,12
TƯ VẤN DU HỌC,12
VIẾT,12
ĐÓNG GÓI HÀNG HÓA,12
ĐẦU BẾP,12
BIÊN TẬP,11
BÁN HÀNG TRANG SỨC ĐÁ QUÝ,11
BẢO TRÌ ĐIỆN TỬ,11
CHUYÊN MÔN HÀNH CHÍNH KHÁC,11
CHUYÊN MÔN TÀI CHÍNH,11
CHUYÊN MÔN VẬN HÀNH VÀ BẢO TRÌ,11
CHỨNG TỪ XUẤT NHẬP KHẨU,11
CUSTOMER EXPERIENCE (TRẢI NGHIỆM KHÁCH HÀNG),11
CÔNG NHÂN SẢN XUẤT,11
GIÁO VIÊN BỘ MÔN KHÁC,11
HỖ TRỢ KỸ THUẬT KHÁC,11
HỖ TRỢ LỚP HỌC,11
IT CONSULTANT,11
KINH DOANH HOÁ CHẤT,11
KINH DOANH PHỤ TÙNG Ô TÔ,11
KIỂM SOÁT VÀ BÁO CÁO TÀI CHÍNH,11
KỸ SƯ CẤP THOÁT NƯỚC,11
NGHIÊN CỨU VÀ PHÁT TRIỂN (R&D) THỰC PHẨM,11
PHỤ BẾP,11
QUẢN LÝ CHẤT LƯỢNG CÔNG TRÌNH,11
SỬA CHỮA KHÁC,11
THIẾT BỊ NẶNG,11
THIẾT KẾ RẬP,11
TIẾNG ANH,11
VẬN HÀNH THIẾT BỊ VẬN TẢI,11
ĐIỀU PHỐI HÀNG HOÁ VÀ KHO VẬN,11
ĐỒ UỐNG,11
ACCOUNT EXECUTIVE,10
BẢO TRÌ ĐIỆN NƯỚC,10
CHUỖI CUNG ỨNG,10
COMMUNICATION SKILLS,10
DEVOPS ENGINEER,10
KẾ TOÁN SẢN XUẤT,10
KỸ SƯ MÔI TRƯỜNG,10
THEO DÕI ĐƠN HÀNG,10
THỢ CƠ KHÍ,10
TRƯỞNG PHÒNG VẬN HÀNH,10
ĐIỀU HÀNH TOUR,10
AFFILIATE MARKETING,9
AI ENGINEER,9
BÁN HÀNG ĐIỆN THOẠI,9
CHUYÊN MÔN DƯỢC,9
CHUYÊN MÔN LOGISTICS KHÁC,9
IT PROJECT MANAGER,9
KẾ TOÁN TÀI CHÍNH,9
KỸ SƯ THIẾT KẾ ĐIỆN,9
NGƯ NGHIỆP,9
NHÂN VIÊN TRẮC ĐẠC,9
NÔNG,9
SHIPPER (NHÂN VIÊN GIAO HÀNG),9
TƯ VẤN NHA KHOA,9
TƯ VẤN THIẾT KẾ XÂY DỰNG,9
UI,9
UX DESIGN,9
ĐÀM PHÁN,9
BUSINESS OPERATION (VẬN HÀNH KINH DOANH),8
BẤT ĐỘNG SẢN KHÁC,8
C,8
CHUYÊN MÔN BẤT ĐỘNG SẢN KHÁC,8
CHUYÊN MÔN THIẾT KẾ VÀ KIẾN TRÚC KHÁC,8
CHUYÊN MÔN THIẾT KẾ ĐỒ HOẠ,8
CHỨNG KHOÁN,8
CƠ KHÍ,8
EMBEDDED ENGINEER,8
GAME DESIGN,8
GIÁM SÁT AN NINH,8
GIÁM SÁT SẢN XUẤT,8
GIÁM ĐỐC NHÂN SỰ,8
GIÁO VIÊN TIẾNG TRUNG,8
KINH DOANH DỊCH VỤ VIỄN THÔNG,8
KỸ SƯ PCCC,8
KỸ THUẬT VIÊN SPA,8
PHÁT TRIỂN HỌC LIỆU,8
PHÂN TÍCH DỮ LIỆU,8
QUẢN LÝ CHẤT LƯỢNG KHÁC,8
QUẢN LÝ SẢN XUẤT,8
SALES KỸ THUẬT KHÁC,8
THIẾT KẾ KHÓA HỌC,8
THỢ XÂY DỰNG,8
TRẢI NGHIỆM KHÁC,8
VẬT LÝ TRỊ LIỆU VÀ CHĂM SÓC SỨC KHỎE,8
VẼ AUTOCAD,8
ACCOUNT MANAGER (QUẢN LÝ KHÁCH HÀNG),7
ASM,7
BÁN THUỐC,7
CHUYÊN VIÊN THUẾ,7
CUSTOMER SERVICE,7
DƯỢC SĨ,7
ENGLISH COMMUNICATION,7
EXCEL,7
KINH DOANH KHÁCH ĐOÀN (MICE),7
KINH DOANH NÔNG SẢN,7
KINH TẾ,7
KIỂM TOÁN VIÊN,7
KẾ TOÁN MUA HÀNG,7
LÃNH ĐẠO,7
MARKETING DEVELOPMENT,7
NEGOTIATION SKILLS,7
PR SPECIALIST,7
PROJECT MANAGEMENT,7
QA ENGINEER,7
QUẢN LÝ DỰ ÁN BẤT ĐỘNG SẢN,7
QUẢN TRỊ RỦI RO,7
THIẾT KẾ CẢNH QUAN,7
THỢ ĐIỆN LẠNH,7
TRỢ GIẢNG TIẾNG ANH,7
TÀI XẾ XE TẢI,7
ĐẤU THẦU XÂY DỰNG,7
ANIMATION DESIGN,6
BIM ENGINEER,6
BIÊN PHIÊN DỊCH TIẾNG ANH,6
CHUYÊN MÔN DỊCH VỤ DU LỊCH KHÁC,6
CHUYÊN MÔN PHÁP CHẾ KHÁC,6
COMMUNICATION,6
DỊCH VỤ ĂN UỐNG KHÁC,6
EVENT MARKETING,6
FMCG,6
GIAO DỊCH VIÊN,6
GIÁM SÁT MUA HÀNG,6
GIÁO VIÊN MẦM NON,6
KHOA HỌC,6
KIỂM TOÁN NỘI BỘ,6
KẾ TOÁN QUẢN TRỊ,6
KỸ NĂNG GIAO TIẾP,6
KỸ SƯ CẦU ĐƯỜNG,6
KỸ SƯ HÓA HỌC,6
